t_id,s_id,latitude,longitude,street,city,zipcode,model
S84-T1,S84,48.863766,2.41177,104 RUE LOUIS LUMIERE,Paris,75020,"E/F, Combo, T2, CHAdeMO, T3"
S84-T3,S84,48.863766,2.41177,104 RUE LOUIS LUMIERE,Paris,75020,"CHAdeMO, T2, T3, E/F, Combo"
S86-T1,S86,48.89061,2.35423,27 RUE ORDENER,Paris,75018,"CHAdeMO, Combo, T2, T3, E/F"
S86-T2,S86,48.89061,2.35423,27 RUE ORDENER,Paris,75018,E/F
S86-T3,S86,48.89061,2.35423,27 RUE ORDENER,Paris,75018,"T3, Combo, CHAdeMO, E/F, T2"
S68-T1,S68,48.875465,2.360103,150 RUE DU FAUBOURG SAINT MARTIN,Paris,75010,"Combo, CHAdeMO, T3, T2, E/F"
S68-T3,S68,48.875465,2.360103,150 RUE DU FAUBOURG SAINT MARTIN,Paris,75010,"Combo, E/F, T3, CHAdeMO, T2"
S28-T1,S28,48.864719,2.359043,5 RUE DE REAUMUR,Paris,75003,"CHAdeMO, T2, Combo, E/F, T3"
S28-T3,S28,48.864719,2.359043,5 RUE DE REAUMUR,Paris,75003,"E/F, T3, CHAdeMO, Combo, T2"
S17-T3,S17,48.8452653,2.4112383000000364,4 Rue Changarnier,Paris,75012,"CHAdeMO, T3, Combo, E/F, T2"
S17-T1,S17,48.8452653,2.4112383000000364,4 Rue Changarnier,Paris,75012,"T3, T2, Combo, CHAdeMO, E/F"
S17-T2,S17,48.8452653,2.4112383000000364,4 Rue Changarnier,Paris,75012,E/F
S67-T1,S67,48.878799,2.368851,9 PLACE DU COLONEL FABIEN,Paris,75010,"T3, E/F, CHAdeMO, T2, Combo"
S67-T2,S67,48.878799,2.368851,9 PLACE DU COLONEL FABIEN,Paris,75010,E/F
S67-T3,S67,48.878799,2.368851,9 PLACE DU COLONEL FABIEN,Paris,75010,"E/F, T2, Combo, CHAdeMO, T3"
S49-T3,S49,48.831448,2.320052,47 RUE DIDOT,Paris,75014,"CHAdeMO, Combo, E/F, T3, T2"
S49-T1,S49,48.831448,2.320052,47 RUE DIDOT,Paris,75014,"Combo, E/F, T3, CHAdeMO, T2"
S49-T2,S49,48.831448,2.320052,47 RUE DIDOT,Paris,75014,E/F
S32-T3,S32,48.84477,2.35242,55 RUE MONGE,Paris,75005,"CHAdeMO, T3, T2, Combo, E/F"
S32-T1,S32,48.84477,2.35242,55 RUE MONGE,Paris,75005,"T2, Combo, CHAdeMO, T3, E/F"
S6-T2,S6,48.882794,2.382705,4 PLACE ARMAND CARREL,Paris,75019,E/F
S6-T3,S6,48.882794,2.382705,4 PLACE ARMAND CARREL,Paris,75019,"E/F, Combo, T2, T3, CHAdeMO"
S6-T1,S6,48.882794,2.382705,4 PLACE ARMAND CARREL,Paris,75019,"Combo, T2, CHAdeMO, E/F, T3"
S97-T1,S97,48.839947,2.397822,5 Rue Docteur Goujon,Paris,75012,"CHAdeMO, Combo, T2, T3, E/F"
S97-T2,S97,48.839947,2.397822,5 Rue Docteur Goujon,Paris,75012,E/F
S97-T3,S97,48.839947,2.397822,5 Rue Docteur Goujon,Paris,75012,"CHAdeMO, T3, Combo, T2, E/F"
S16-T3,S16,48.889731,2.33891,103 RUE CAULAINCOURT,Paris,75018,"T2, CHAdeMO, E/F, T3, Combo"
S16-T1,S16,48.889731,2.33891,103 RUE CAULAINCOURT,Paris,75018,"T3, T2, Combo, CHAdeMO, E/F"
S74-T1,S74,48.834705,2.305529,25 RUE DE VOUILLE,Paris,75015,"Combo, CHAdeMO, T2, E/F, T3"
S74-T2,S74,48.834705,2.305529,25 RUE DE VOUILLE,Paris,75015,E/F
S74-T3,S74,48.834705,2.305529,25 RUE DE VOUILLE,Paris,75015,"CHAdeMO, T2, E/F, Combo, T3"
S9-T3,S9,48.878965,2.293606,36 AVENUE DES TERNES,Paris,75017,"Combo, CHAdeMO, E/F, T3, T2"
S9-T1,S9,48.878965,2.293606,36 AVENUE DES TERNES,Paris,75017,"Combo, CHAdeMO, E/F, T3, T2"
S9-T2,S9,48.878965,2.293606,36 AVENUE DES TERNES,Paris,75017,E/F
S37-T1,S37,48.857124,2.327753,35 RUE DU BAC,Paris,75007,"T3, E/F, CHAdeMO, T2, Combo"
S37-T2,S37,48.857124,2.327753,35 RUE DU BAC,Paris,75007,E/F
S37-T3,S37,48.857124,2.327753,35 RUE DU BAC,Paris,75007,"T3, E/F, CHAdeMO, T2, Combo"
S80-T1,S80,48.897671,2.352758,150 RUE DES POISSONIERS,Paris,75018,"T3, E/F, Combo, CHAdeMO, T2"
S80-T3,S80,48.897671,2.352758,150 RUE DES POISSONIERS,Paris,75018,"E/F, CHAdeMO, T2, T3, Combo"
S20-T3,S20,48.882718,2.319768,81 RUE DE ROME,Paris,75017,"T2, CHAdeMO, Combo, E/F, T3"
S20-T1,S20,48.882718,2.319768,81 RUE DE ROME,Paris,75017,"T2, CHAdeMO, E/F, Combo, T3"
S94-T1,S94,48.833603,2.389173,54 Rue Baron Leroy,Paris,75013,"CHAdeMO, T3, Combo, T2, E/F"
S94-T3,S94,48.833603,2.389173,54 Rue Baron Leroy,Paris,75013,"T2, T3, Combo, CHAdeMO, E/F"
S29-T3,S29,48.854057,2.34556,4 QUAI DU MARCHE NEUF,Paris,75004,"E/F, T3, T2, CHAdeMO, Combo"
S29-T1,S29,48.854057,2.34556,4 QUAI DU MARCHE NEUF,Paris,75004,"CHAdeMO, T3, E/F, Combo, T2"
S29-T2,S29,48.854057,2.34556,4 QUAI DU MARCHE NEUF,Paris,75004,E/F
S34-T3,S34,48.85212550000001,2.331345899999974,66 RUE DE RENNES,Paris,75006,"E/F, Combo, CHAdeMO, T3, T2"
