timestamp,temperature,wind_speed,wind_gust_speed,rain_level,traffic_state,average_flow
2020-11-09T00:00:00+00:00,11.6,4.0,8.0,0.0,Fluid,62.1
2020-11-09T01:00:00+00:00,11.3,5.0,10.0,0.0,Fluid,46.7
2020-11-09T02:00:00+00:00,,,,,Fluid,49.5
2020-11-09T03:00:00+00:00,,,,,Fluid,81.1
2020-11-09T04:00:00+00:00,,,,,Fluid,198.9
2020-11-09T05:00:00+00:00,,,,,Fluid,523.5
2020-11-09T06:00:00+00:00,,,,,Fluid,818.0
2020-11-09T07:00:00+00:00,,,,,Fluid,963.0
2020-11-09T08:00:00+00:00,,,,,Fluid,889.7
2020-11-09T09:00:00+00:00,,,,,Fluid,827.3
2020-11-09T10:00:00+00:00,,,,,Fluid,814.3
2020-11-09T11:00:00+00:00,,,,,Fluid,816.2
2020-11-09T12:00:00+00:00,,,,,Fluid,841.5
2020-11-09T13:00:00+00:00,,,,,Fluid,847.7
2020-11-09T14:00:00+00:00,,,,,Fluid,871.2
2020-11-09T15:00:00+00:00,,,,,Fluid,904.7
2020-11-09T16:00:00+00:00,,,,,Fluid,900.7
2020-11-09T17:00:00+00:00,,,,,Fluid,870.0
2020-11-09T18:00:00+00:00,,,,,Fluid,749.1
2020-11-09T19:00:00+00:00,,,,,Fluid,531.0
2020-11-09T20:00:00+00:00,,,,,Fluid,341.2
2020-11-09T21:00:00+00:00,,,,,Fluid,220.0
2020-11-09T22:00:00+00:00,,,,,Fluid,139.2
2020-11-09T23:00:00+00:00,,,,,Fluid,101.8
2020-11-10T00:00:00+00:00,,,,,Fluid,77.5
2020-11-10T01:00:00+00:00,,,,,Fluid,62.4
2020-11-10T02:00:00+00:00,,,,,Fluid,66.3
2020-11-10T03:00:00+00:00,,,,,Fluid,102.9
2020-11-10T04:00:00+00:00,,,,,Fluid,217.0
2020-11-10T05:00:00+00:00,,,,,Fluid,508.8
2020-11-10T06:00:00+00:00,,,,,Fluid,788.5
2020-11-10T07:00:00+00:00,,,,,Fluid,942.6
2020-11-10T08:00:00+00:00,,,,,Fluid,924.2
2020-11-10T09:00:00+00:00,,,,,Fluid,873.1
2020-11-10T10:00:00+00:00,,,,,Fluid,865.6
2020-11-10T11:00:00+00:00,,,,,Fluid,880.3
2020-11-10T12:00:00+00:00,,,,,Fluid,907.8
2020-11-10T13:00:00+00:00,,,,,Fluid,941.5
2020-11-10T14:00:00+00:00,,,,,Fluid,927.7
2020-11-10T15:00:00+00:00,,,,,Fluid,897.4
2020-11-10T16:00:00+00:00,,,,,Fluid,898.0
2020-11-10T17:00:00+00:00,,,,,Fluid,889.4
2020-11-10T18:00:00+00:00,,,,,Fluid,816.8
2020-11-10T19:00:00+00:00,,,,,Fluid,595.4
2020-11-10T20:00:00+00:00,,,,,Fluid,395.6
2020-11-10T21:00:00+00:00,,,,,Fluid,245.2
2020-11-10T22:00:00+00:00,,,,,Fluid,157.6
2020-11-10T23:00:00+00:00,,,,,Fluid,115.4
2020-11-11T00:00:00+00:00,,,,,Fluid,92.2
2020-11-11T01:00:00+00:00,,,,,Fluid,69.1
2020-11-11T02:00:00+00:00,,,,,Fluid,59.2
2020-11-11T03:00:00+00:00,,,,,Fluid,72.5
2020-11-11T04:00:00+00:00,,,,,Fluid,108.9
2020-11-11T05:00:00+00:00,,,,,Fluid,190.2
2020-11-11T06:00:00+00:00,,,,,Fluid,264.0
2020-11-11T07:00:00+00:00,,,,,Fluid,287.3
2020-11-11T08:00:00+00:00,,,,,Fluid,339.7
2020-11-11T09:00:00+00:00,,,,,Fluid,399.9
2020-11-11T10:00:00+00:00,,,,,Fluid,470.8
2020-11-11T11:00:00+00:00,,,,,Fluid,511.6
2020-11-11T12:00:00+00:00,,,,,Fluid,525.1
2020-11-11T13:00:00+00:00,,,,,Fluid,545.7
2020-11-11T14:00:00+00:00,,,,,Fluid,543.7
2020-11-11T15:00:00+00:00,,,,,Fluid,545.4
2020-11-11T16:00:00+00:00,,,,,Fluid,556.2
2020-11-11T17:00:00+00:00,,,,,Fluid,543.2
2020-11-11T18:00:00+00:00,,,,,Fluid,472.2
2020-11-11T19:00:00+00:00,,,,,Fluid,393.4
2020-11-11T20:00:00+00:00,,,,,Fluid,291.0
2020-11-11T21:00:00+00:00,,,,,Fluid,204.3
2020-11-11T22:00:00+00:00,,,,,Fluid,139.9
2020-11-11T23:00:00+00:00,,,,,Fluid,106.0
2020-11-12T00:00:00+00:00,,,,,Fluid,77.6
2020-11-12T01:00:00+00:00,,,,,Fluid,59.6
2020-11-12T02:00:00+00:00,,,,,Fluid,63.8
2020-11-12T03:00:00+00:00,,,,,Fluid,96.3
2020-11-12T04:00:00+00:00,,,,,Fluid,213.7
2020-11-12T05:00:00+00:00,,,,,Fluid,545.9
2020-11-12T06:00:00+00:00,,,,,Fluid,825.2
